Seed,Team
1, Gonzaga 
2, Arizona 
3, Kansas 
4, Baylor 
5, Auburn 
6, Kentucky 
7, Villanova 
8, Duke 
9, Wisconsin 
10, Tennessee 
11, Purdue 
12, Texas Tech 
13, UCLA 
14, Illinois 
15, Providence 
16, Arkansas 
17, UConn 
18, Houston 
19, Saint Mary's 
20, Iowa 
21, Alabama 
22, LSU 
23, Texas 
24, Colorado State 
25, USC 
26, Murray State 
27, Michigan State 
28, Ohio State 
29, Boise State 
30, North Carolina 
31, San Diego State 
32, Seton Hall 
33, Creighton 
34, TCU 
35, Marquette 
36, Memphis 
37, San Francisco 
38, Miami 
39, Loyola Chicago 
40, Davidson 
41, Iowa State 
42, Michigan 
43, Wyoming 
44, Rutgers 
45, Indiana 
46, Virginia Tech 
47, Notre Dame 
48, UAB 
49, Richmond 
50, New Mexico State 
51, Chattanooga 
52, South Dakota State 
53, Vermont 
54, Akron 
55, Longwood 
56, Yale 
57, Colgate 
58, Montana State 
59, Delaware 
60, Saint Peter's 
61, Jacksonville State 
62, Cal State Fullerton 
63, Georgia State 
64, Norfolk State 
65, Wright State 
66, Bryant 
67, Texas Southern 
68, Texas A&M-Corpus Christi 
